date,open,close,high,low,volume,code
2010-05-28,-0.339,-0.121,-0.061,-0.401,340983.54,002415
2010-05-31,0.099,0.05,0.204,-0.033,172278.73,002415
2010-06-01,0.106,0.175,0.217,0.004,109946.8,002415
2010-06-02,0.022,0.111,0.128,-0.104,94962.64,002415
2010-06-03,0.106,-0.139,0.149,-0.172,75605.22,002415
2010-06-04,-0.225,-0.169,-0.067,-0.226,50877.72,002415
2010-06-07,-0.316,-0.165,-0.084,-0.316,46768.06,002415
2010-06-08,-0.194,-0.267,-0.094,-0.371,55143.13,002415
2010-06-09,-0.278,-0.161,-0.096,-0.31,44958.39,002415
2010-06-10,-0.2,-0.033,0.009,-0.213,36192.26,002415
2010-06-11,-0.006,0.004,0.044,-0.084,37850.7,002415
2010-06-17,0.006,-0.228,0.034,-0.267,33014.53,002415
2010-06-18,-0.288,-0.251,-0.176,-0.31,19239.0,002415
2010-06-21,-0.283,-0.283,-0.262,-0.561,23654.97,002415
2010-06-22,-0.339,-0.367,-0.264,-0.401,11907.46,002415
2010-06-23,-0.422,-0.328,-0.311,-0.447,12902.47,002415
2010-06-24,-0.349,-0.306,-0.294,-0.354,11781.16,002415
2010-06-28,-0.312,-0.506,-0.312,-0.516,22415.03,002415
2010-06-29,-0.506,-0.807,-0.506,-0.829,19273.04,002415
2010-06-30,-0.852,-0.822,-0.756,-1.006,12763.16,002415
2010-07-01,-0.839,-0.872,-0.795,-0.892,7047.92,002415
2010-07-02,-0.886,-0.969,-0.861,-1.139,17593.15,002415
2010-07-05,-1.061,-0.901,-0.896,-1.106,10423.55,002415
2010-07-06,-0.95,-0.859,-0.811,-0.988,10106.88,002415
2010-07-07,-0.831,-0.813,-0.811,-0.941,8628.28,002415
2010-07-08,-0.783,-0.798,-0.757,-0.867,9383.42,002415
2010-07-09,-0.798,-0.698,-0.646,-0.843,8821.25,002415
2010-07-12,-0.678,-0.717,-0.678,-0.783,12880.0,002415
2010-07-13,-0.756,-0.848,-0.756,-0.866,6008.91,002415
2010-07-14,-0.817,-0.83,-0.794,-0.886,8360.79,002415
2010-07-15,-0.834,-0.902,-0.789,-0.902,5017.14,002415
2010-07-16,-0.912,-1.003,-0.912,-1.044,11960.82,002415
2010-07-19,-1.033,-0.961,-0.951,-1.048,7425.78,002415
2010-07-20,-0.978,-0.8,-0.791,-0.978,10751.82,002415
2010-07-21,-0.8,-0.756,-0.689,-0.828,13002.42,002415
2010-07-22,-0.786,-0.741,-0.74,-0.822,6230.32,002415
2010-07-23,-0.722,-0.766,-0.669,-0.794,8561.08,002415
2010-07-26,-0.752,-0.713,-0.706,-0.781,15349.83,002415
2010-07-27,-0.722,-0.767,-0.69,-0.767,9074.82,002415
2010-07-28,-0.803,-0.688,-0.678,-0.811,13489.15,002415
2010-07-29,-0.683,-0.642,-0.601,-0.685,13924.8,002415
2010-07-30,-0.642,-0.671,-0.642,-0.726,9141.86,002415
2010-08-02,-0.672,-0.517,-0.511,-0.682,15153.82,002415
2010-08-03,-0.517,-0.461,-0.409,-0.546,15329.26,002415
2010-08-04,-0.478,-0.356,-0.356,-0.505,12326.02,002415
2010-08-05,-0.356,-0.383,-0.324,-0.411,8129.31,002415
2010-08-06,-0.403,-0.228,-0.186,-0.411,13800.84,002415
2010-08-09,-0.233,-0.164,-0.102,-0.256,8743.0,002415
2010-08-10,-0.181,-0.331,-0.146,-0.36,9615.6,002415
2010-08-11,-0.368,-0.311,-0.242,-0.421,5975.07,002415
2010-08-12,-0.333,-0.431,-0.299,-0.454,6113.78,002415
2010-08-13,-0.414,-0.344,-0.336,-0.431,6460.39,002415
2010-08-16,-0.312,-0.3,-0.293,-0.372,8573.93,002415
2010-08-17,-0.297,-0.233,-0.087,-0.297,11074.21,002415
2010-08-18,-0.233,-0.354,-0.213,-0.354,9146.89,002415
2010-08-19,-0.368,-0.353,-0.284,-0.372,6408.27,002415
2010-08-20,-0.366,-0.423,-0.324,-0.444,7205.44,002415
2010-08-23,-0.424,-0.447,-0.391,-0.533,10197.68,002415
2010-08-24,-0.446,-0.393,-0.357,-0.492,5926.6,002415
2010-08-25,-0.422,-0.433,-0.297,-0.478,8377.34,002415
2010-08-26,-0.431,-0.332,-0.272,-0.431,7617.0,002415
2010-08-27,-0.333,-0.322,-0.242,-0.386,10776.0,002415
2010-08-30,-0.322,-0.186,-0.163,-0.372,31282.0,002415
2010-08-31,-0.217,-0.21,-0.168,-0.29,16239.0,002415
2010-09-01,-0.208,-0.644,-0.181,-0.653,47896.0,002415
2010-09-02,-0.544,-0.614,-0.478,-0.636,37059.0,002415
2010-09-03,-0.609,-0.538,-0.484,-0.61,13672.0,002415
2010-09-06,-0.525,-0.586,-0.508,-0.7,23461.0,002415
2010-09-07,-0.612,-0.622,-0.589,-0.666,13627.0,002415
2010-09-08,-0.623,-0.563,-0.561,-0.654,13322.0,002415
2010-09-09,-0.574,-0.656,-0.549,-0.683,17966.0,002415
2010-09-10,-0.667,-0.739,-0.618,-0.771,15983.0,002415
2010-09-13,-0.722,-0.591,-0.579,-0.738,21123.0,002415
2010-09-14,-0.568,-0.493,-0.467,-0.6,17109.0,002415
2010-09-15,-0.478,-0.689,-0.47,-0.697,13981.0,002415
2010-09-16,-0.683,-0.767,-0.623,-0.789,17023.0,002415
2010-09-17,-0.75,-0.767,-0.701,-0.839,13103.0,002415
2010-09-20,-0.768,-0.746,-0.718,-0.783,12399.0,002415
2010-09-21,-0.738,-0.731,-0.713,-0.811,8294.0,002415
2010-09-27,-0.712,-0.65,-0.614,-0.731,9009.0,002415
2010-09-28,-0.659,-0.617,-0.592,-0.709,13122.0,002415
2010-09-29,-0.617,-0.7,-0.6,-0.712,8584.0,002415
2010-09-30,-0.673,-0.628,-0.589,-0.7,10862.0,002415
2010-10-08,-0.589,-0.561,-0.547,-0.644,16777.0,002415
2010-10-11,-0.589,-0.672,-0.486,-0.711,23227.0,002415
2010-10-12,-0.672,-0.644,-0.633,-0.722,13344.0,002415
2010-10-13,-0.672,-0.571,-0.557,-0.689,11690.0,002415
2010-10-14,-0.581,-0.762,-0.573,-0.763,11734.0,002415
2010-10-15,-0.761,-0.756,-0.726,-0.872,18533.0,002415
2010-10-18,-0.767,-0.872,-0.762,-0.967,19407.0,002415
2010-10-19,-0.873,-0.728,-0.706,-0.888,15323.0,002415
2010-10-20,-0.811,-0.728,-0.656,-0.811,10583.0,002415
2010-10-21,-0.729,-0.711,-0.616,-0.732,18198.0,002415
2010-10-22,-0.695,-0.708,-0.644,-0.744,14182.0,002415
2010-10-25,-0.689,-0.584,-0.561,-0.698,26726.0,002415
2010-10-26,-0.589,-0.533,-0.508,-0.616,17555.0,002415
2010-10-27,-0.504,-0.607,-0.469,-0.644,14560.0,002415
2010-10-28,-0.622,-0.203,-0.203,-0.622,47191.0,002415
2010-10-29,-0.139,0.006,0.188,-0.172,50418.0,002415
2010-11-01,-0.006,0.089,0.145,-0.033,28698.0,002415
2010-11-02,0.089,0.022,0.089,-0.083,17104.0,002415
2010-11-03,-0.019,0.112,0.142,-0.144,20653.0,002415
2010-11-04,0.113,0.356,0.4,0.05,27894.0,002415
2010-11-05,0.3,0.307,0.395,0.217,21578.0,002415
2010-11-08,0.355,0.422,0.452,0.227,22058.0,002415
2010-11-09,0.356,0.38,0.488,0.328,12227.0,002415
2010-11-10,0.411,0.539,0.743,0.372,13190.0,002415
2010-11-11,0.51,0.792,0.964,0.44,16440.0,002415
2010-11-12,0.8,0.584,1.131,0.578,23734.0,002415
2010-11-15,0.69,0.858,0.895,0.585,13235.0,002415
2010-11-16,0.953,0.834,1.188,0.635,15575.0,002415
2010-11-17,0.756,0.495,0.938,0.467,12596.0,002415
2010-11-18,0.578,0.522,0.578,0.443,10522.0,002415
2010-11-19,0.633,0.921,0.936,0.541,16383.0,002415
2010-11-23,1.189,0.972,1.3,0.939,45714.0,002415
2010-11-24,0.856,0.932,0.999,0.778,26876.0,002415
2010-11-25,0.932,0.756,1.105,0.635,23887.0,002415
2010-11-26,0.66,0.722,0.771,0.636,9628.0,002415
2010-11-29,0.689,0.72,0.772,0.611,15497.0,002415
2010-11-30,0.703,0.797,0.965,0.536,22180.0,002415
2010-12-01,0.888,0.741,0.888,0.645,10077.0,002415
2010-12-02,0.783,0.742,0.8,0.708,6981.0,002415
2010-12-03,0.742,0.546,0.767,0.528,12440.0,002415
2010-12-06,0.577,0.356,0.6,0.233,12383.0,002415
2010-12-07,0.328,0.51,0.566,0.317,13793.0,002415
2010-12-08,0.545,0.5,0.606,0.489,8585.0,002415
2010-12-09,0.511,0.339,0.522,0.334,6835.0,002415
2010-12-10,0.356,0.431,0.464,0.306,13408.0,002415
2010-12-14,0.585,0.853,0.938,0.585,34770.0,002415
2010-12-15,0.801,0.836,0.938,0.8,12294.0,002415
2010-12-16,0.828,0.91,1.072,0.828,10075.0,002415
2010-12-17,0.856,0.895,1.02,0.829,5899.0,002415
2010-12-20,0.874,0.828,1.017,0.689,11760.0,002415
2010-12-21,0.878,0.961,1.027,0.855,11635.0,002415
2010-12-22,0.939,0.835,0.994,0.745,7405.0,002415
2010-12-23,0.756,0.707,0.835,0.705,6307.0,002415
2010-12-24,0.689,0.506,0.694,0.465,7365.0,002415
2010-12-27,0.506,0.358,0.689,0.262,10418.0,002415
2010-12-28,0.356,0.245,0.411,0.222,10664.0,002415
2010-12-29,0.3,0.4,0.433,0.245,10129.0,002415
2010-12-30,0.411,0.472,0.51,0.359,7980.0,002415
2010-12-31,0.467,0.595,0.661,0.467,9839.0,002415
2011-01-04,0.611,0.624,0.626,0.522,8160.0,002415
2011-01-05,0.633,0.455,0.633,0.447,10888.0,002415
2011-01-06,0.454,0.4,0.533,0.375,7891.0,002415
2011-01-07,0.362,0.4,0.456,0.362,5366.0,002415
2011-01-10,0.4,0.261,0.439,0.245,5160.0,002415
2011-01-11,0.245,0.289,0.356,0.218,3982.0,002415
2011-01-12,0.29,0.295,0.372,0.245,3174.0,002415
2011-01-13,0.363,0.411,0.493,0.322,6178.0,002415
2011-01-14,0.413,0.306,0.435,0.3,3180.0,002415
2011-01-17,0.3,0.067,0.383,0.026,6317.0,002415
2011-01-18,0.067,-0.067,0.138,-0.2,9486.0,002415
2011-01-19,-0.089,0.084,0.1,-0.144,6975.0,002415
2011-01-20,0.078,0.011,0.125,-0.082,5573.0,002415
2011-01-21,-0.032,0.011,0.039,-0.061,9120.0,002415
2011-01-24,-0.133,-0.2,0.002,-0.203,3909.0,002415
2011-01-25,-0.263,-0.262,-0.2,-0.3,4687.0,002415
2011-01-26,-0.321,-0.198,-0.18,-0.321,3493.0,002415
2011-01-27,-0.233,-0.165,-0.122,-0.254,3329.0,002415
2011-01-28,-0.144,-0.167,-0.1,-0.256,2927.0,002415
2011-01-31,-0.15,-0.142,-0.111,-0.211,1950.0,002415
2011-02-01,-0.117,-0.205,-0.1,-0.209,3788.0,002415
2011-02-09,-0.205,-0.212,-0.178,-0.237,1991.0,002415
2011-02-10,-0.242,-0.059,-0.051,-0.242,5008.0,002415
2011-02-11,-0.056,-0.061,-0.021,-0.114,6256.0,002415
2011-02-14,-0.061,0.078,0.115,-0.083,7254.0,002415
2011-02-15,0.117,0.022,0.117,0.011,7233.0,002415
2011-02-16,0.011,0.005,0.038,-0.089,9194.0,002415
2011-02-17,0.016,-0.008,0.042,-0.044,8106.0,002415
2011-02-18,-0.011,-0.117,-0.008,-0.144,7887.0,002415
2011-02-21,-0.043,0.178,0.178,-0.053,16323.0,002415
2011-02-22,0.183,0.01,0.203,-0.033,14334.0,002415
2011-02-23,0.01,-0.022,0.05,-0.044,9578.0,002415
2011-02-24,-0.017,0.148,0.172,-0.017,24921.0,002415
2011-02-25,0.166,0.245,0.356,0.166,27799.0,002415
2011-02-28,0.247,0.151,0.311,0.117,13026.0,002415
2011-03-01,0.152,0.232,0.272,0.133,10503.0,002415
2011-03-02,0.195,0.161,0.222,0.101,5928.0,002415
2011-03-03,0.137,0.091,0.187,0.021,11820.0,002415
2011-03-04,0.039,0.045,0.178,0.018,6630.0,002415
2011-03-07,0.086,0.099,0.121,0.022,10805.0,002415
2011-03-08,0.098,0.242,0.243,0.022,12306.0,002415
2011-03-09,0.233,0.168,0.258,0.16,8924.0,002415
2011-03-10,0.168,0.19,0.206,0.122,5782.0,002415
2011-03-11,0.172,0.134,0.233,0.106,10815.0,002415
2011-03-14,0.113,0.211,0.227,0.113,10108.0,002415
2011-03-15,0.211,0.294,0.323,0.167,16096.0,002415
2011-03-16,0.318,0.447,0.522,0.267,14456.0,002415
2011-03-17,0.411,0.376,0.567,0.345,17814.0,002415
2011-03-18,0.383,0.301,0.447,0.272,9368.0,002415
2011-03-21,0.276,0.271,0.378,0.267,7464.0,002415
2011-03-22,0.278,0.172,0.295,0.16,10830.0,002415
2011-03-23,0.205,0.183,0.208,0.14,9254.0,002415
2011-03-24,0.205,0.161,0.205,0.158,8462.0,002415
2011-03-25,0.162,0.177,0.189,0.142,9826.0,002415
2011-03-28,0.178,0.011,0.189,-0.003,17041.0,002415
2011-03-29,0.016,-0.076,0.016,-0.1,9450.0,002415
2011-03-30,-0.061,-0.042,0.018,-0.098,4158.0,002415
2011-03-31,-0.033,-0.073,0.008,-0.078,2435.0,002415
2011-04-01,-0.072,-0.142,-0.029,-0.211,8663.0,002415
2011-04-06,-0.146,-0.294,-0.144,-0.314,12859.0,002415
2011-04-07,-0.294,-0.294,-0.263,-0.339,10939.0,002415
2011-04-08,-0.289,-0.239,-0.202,-0.311,11907.0,002415
2011-04-12,-0.257,-0.422,-0.257,-0.427,19399.0,002415
2011-04-13,-0.383,-0.282,-0.2,-0.422,13427.0,002415
2011-04-14,-0.278,-0.229,-0.215,-0.325,8778.0,002415
2011-04-15,-0.225,-0.206,-0.189,-0.266,7146.0,002415
2011-04-18,-0.2,-0.25,-0.172,-0.25,10644.0,002415
2011-04-19,-0.268,-0.162,-0.146,-0.367,13748.0,002415
2011-04-20,-0.161,-0.253,-0.069,-0.264,15007.0,002415
2011-04-21,-0.271,-0.343,-0.213,-0.343,19762.0,002415
2011-04-22,-0.371,-0.382,-0.289,-0.411,17152.0,002415
2011-04-25,-0.4,-0.402,-0.349,-0.497,21950.0,002415
2011-04-26,-0.4,-0.356,-0.356,-0.444,13595.0,002415
2011-04-27,-0.322,-0.454,-0.322,-0.477,8880.0,002415
2011-04-28,-0.489,-0.73,-0.422,-0.856,33439.0,002415
2011-04-29,-0.689,-0.667,-0.597,-0.728,24531.0,002415
2011-05-03,-0.672,-0.544,-0.544,-0.729,11782.0,002415
